drug	n_gwas_target_genes	approved	genes
ERGOLOID MESYLATES, USP	1	True	DRD2
AMOXAPINE	1	True	DRD2
CHLORPROMAZINE HYDROCHLORIDE	1	True	DRD2
LOXAPINE SUCCINATE	1	True	DRD2
ERGOT ALKALOIDS	1	False	DRD2
MELEVODOPA	1	True	DRD2
TOLAZOLINE	1	True	DRD2
DENOPAMINE	1	False	DRD2
ROPINIROLE HYDROCHLORIDE	1	True	DRD2
PHENYLEPHRINE	1	True	DRD2
UMESPIRONE	1	False	DRD2
DEXPRAMIPEXOLE	1	False	DRD2
LY2874455	1	False	DRD2
METHYLPHENIDATE HYDROCHLORIDE	1	True	OPCML
AMLODIPINE BESYLATE	1	True	CACNA1C
AZD1305	1	False	CACNA1C
NITRENDIPINE	1	True	CACNA1C
NILVADIPINE	1	False	CACNA1C
BENIDIPINE	1	False	CACNA1C
DRONEDARONE HYDROCHLORIDE	1	True	CACNA1C
IBUTILIDE	1	True	CACNA1C
CALCIUM CHANNEL BLOCKER	1	False	CACNA1C
LERCANIDIPINE HYDROCHLORIDE	1	True	CACNA1C
AZELNIDIPINE	1	False	CACNA1C
DILTIAZEM MALATE	1	True	CACNA1C
DILTIAZEM HYDROCHLORIDE	1	True	CACNA1C
CINNARIZINE	1	True	CACNA1C
NICARDIPINE HYDROCHLORIDE	1	True	CACNA1C
MEPIRODIPINE	1	False	CACNA1C
LACIDIPINE	1	True	CACNA1C
NIFEDIPINE	1	True	CACNA1C
MANIDIPINE	1	False	CACNA1C
AMLODIPINE MALEATE	1	True	CACNA1C
LEVAMLODIPINE MALEATE	1	True	CACNA1C
CILNIDIPINE	1	False	CACNA1C
AMLODIPINE BENZOATE	1	True	CACNA1C
RAUWOLFIA SERPENTINA (USP)	1	True	CACNA1C
CAPECITABINE	1	True	SPRY2
PRINABEREL	1	False	ESR2
AUS-131	1	False	ESR2
TRILOSTANE	1	True	ESR2
(S)-LIQUIRITIGENIN	1	False	ESR2
R,R-THC	1	False	ESR2
FERB 033	1	False	ESR2
WAY200070	1	False	ESR2
CHEMBL:CHEMBL2332580	1	False	ESR2
ALENDRONATE SODIUM	1	True	ESR2
ERTEBEREL	1	False	ESR2
ESTRAMUSTINE PHOSPHATE SODIUM	1	True	ESR2
PHTPP	1	False	ESR2
MF101	1	False	ESR2
NARINGENIN	1	False	ESR2
AC-186	1	False	ESR2
GEMCITABINE	1	True	ESR2
MENERBA	1	False	ESR2
HPTE	1	False	ESR2
CR 1447	1	False	ESR2
DIARYLPROPIONITRILE	1	False	ESR2
NORENDOXIFEN	1	False	ESR2
[125I]GDNF (RAT)	1	False	DLST
LY-2090314	1	False	MARK3
CBP-501	1	False	MARK3
DIMETHYLADENINE	1	False	MARK3
VINCRISTINE	1	True	BAHD1
AMUVATINIB	1	False	RAD51
BISANTRENE	1	False	FTO
MERCAPTOPURINE	1	True	FTO
AZATHIOPRINE	1	True	FTO
INTERFERON ALFA-2B	1	True	FTO
LY2087101	1	False	ZFHX3
MECAMYLAMINE	1	True	ZFHX3
[3H]CYTISINE	1	False	ZFHX3
HEXAMETHONIUM	1	False	ZFHX3
CP-601927	1	False	ZFHX3
[125I]EPIBATIDINE	1	False	ZFHX3
KETANSERIN	1	False	CDH13
[125I]IODOVINYL-TBZ	1	False	CDH13
RESERPINE	1	True	CDH13
DEUTETRABENAZINE	1	True	CDH13
[3H]TBZOH	1	False	CDH13
CLOPIDOGREL	1	True	CDH13
[125I]7-AZIDO-8-IODOKETANSERINE	1	False	CDH13
TETRABENAZINE	1	True	CDH13
[11C]DTBZ	1	False	CDH13
BOTULINUM TOXIN TYPE B	1	True	VAMP2
TETRADECANOYLPHORBOL ACETATE	1	False	VAMP2
INSULIN, REGULAR, HUMAN	1	True	VAMP2
PF-03814735	1	False	AURKB
KW-2449	1	False	AURKB
BELUMOSUDIL	1	True	AURKB
BI-847325	1	False	AURKB
BARASERTIB	1	False	AURKB
ZM447439	1	False	AURKB
DACTOLISIB	1	False	AURKB
DANUSERTIB	1	False	AURKB
AURORA B/C KINASE INHIBITOR GSK1070916A	1	False	AURKB
TOZASERTIB LACTATE	1	False	AURKB
AMG-900	1	False	AURKB
AT9283	1	False	AURKB
WITHAFERIN A	1	False	AURKB
AR-AO-14418	1	False	AURKB
GSK1070916	1	False	AURKB
LAS38096	1	False	AURKB
MK-6592	1	False	AURKB
TAK-901	1	False	AURKB
TTP-607	1	False	AURKB
CHEMBL:CHEMBL535331	1	False	AURKB
MLN-8054	1	False	AURKB
CYC116	1	False	AURKB
FASUDIL	1	False	AURKB
BI-811283	1	False	AURKB
AURORA KINASE INHIBITOR AMG 900	1	False	AURKB
MK-5108	1	False	AURKB
EUPATORIN	1	False	AURKB
COPANLISIB	1	True	AURKB
AT-9283	1	False	AURKB
BMS-345541	1	False	AURKB
NERVIANO	1	False	AURKB
COMPOUND 8A [PMID: 24900283]	1	False	ASIC2
COMPOUND 9G [PMID: 24412111]	1	False	ASIC2
[D-PHE6,&BETA;-ALA11,PHE13,NLE14]BOMBESIN-(6-14)	1	False	ASIC2
COMPOUND 17C [PMID: 25497965]	1	False	ASIC2
PHENYLACETYL-ALA,DTRP-PHENTHYLAMIDE	1	False	ASIC2
[D-TYR6,APA-4CL11,PHE13,NLE14]BOMBESIN-(6-14)	1	False	ASIC2
D-NAL-CYS-TYR-D-TRP-LYS-VAL-CYS-NAL-NH2	1	False	ASIC2
[D-TYR6,(R)-APA11,PHE13,NLE14]BOMBESIN-(6-14)	1	False	ASIC2
[125I]BANTAG-1	1	False	ASIC2
COMPOUND 22E [PMID: 20167483]	1	False	ASIC2
BANTAG-1	1	False	ASIC2
MK-7725	1	False	ASIC2
COMPOUND 21B [PMID: 12723954]	1	False	ASIC2
COMPOUND A [PMID: 28324017]	1	False	ASIC2
BAG-1	1	False	ASIC2
ML-18	1	False	ASIC2
NMU (104-114)	1	False	ASIC2
AC-PHE-TRP-ALA-HIS(&TAU;BZL)-NIP-GLY-ARG-NH2	1	False	ASIC2
BAG-2	1	False	ASIC2
[125I][D-TYR6,&BETA;-ALA11,PHE13,NLE14]BOMBESIN-(6-14)	1	False	ASIC2
MK-5046	1	False	ASIC2
COMPOUND 9F [PMID: 24412111]	1	False	ASIC2
MARIMASTAT	1	False	DCC
CGS-27023A	1	False	DCC
UK-356618	1	False	DCC
BATIMASTAT	1	False	DCC
CM-352	1	False	DCC
ILOMASTAT	1	False	DCC
&ALPHA;&BETA;-MEATP	1	False	ATP1A3
NF279	1	False	ATP1A3
L-&BETA;&GAMMA;-MEATP	1	False	ATP1A3
DESLANOSIDE	1	True	ATP1A3
MRS 2219	1	False	ATP1A3
NF023	1	False	ATP1A3
TNP-ATP	1	False	ATP1A3
DIGOXIN	1	True	ATP1A3
DIGITOXIN	1	True	ATP1A3
ISTAROXIME	1	False	ATP1A3
IP5I	1	False	ATP1A3
ACETYLDIGITOXIN	1	True	ATP1A3
NF449	1	False	ATP1A3
LINAGLIPTIN	1	True	POU2F2
CDX-1140	1	False	CD40
CD40 LIGAND	1	False	CD40
TETANUS TOXOID	1	False	CD40
SOTIGALIMAB	1	False	CD40
TENELIXIMAB	1	False	CD40
RECOMBINANT CD40-LIGAND	1	False	CD40
GILORALIMAB	1	False	CD40
DACETUZUMAB	1	False	CD40
BLESELUMAB	1	False	CD40
PG-102	1	False	CD40
CFZ533	1	False	CD40
ALDESLEUKIN	1	True	CD40
LUCATUMUMAB	1	False	CD40
SELICRELUMAB	1	False	CD40
HYDROQUINONE	1	True	CD40
MONOCLONAL ANTIBODY SGN-14	1	False	CD40
AUTOLOGOUS PROSTATE CANCER ANTIGEN-EXPRESSING DENDRITIC CELL VACCINE BPX-101	1	False	CD40
RAVAGALIMAB	1	False	CD40
ISCALIMAB	1	False	CD40
FLUDARABINE	1	True	CD40
MANNOSE-BINDING LECTIN	1	False	CD40
ADP-RIBOSYLATION FACTOR 1	1	False	CSE1L
PIP2	1	False	CSE1L
OLEIC ACID	1	True	CSE1L
FIPI	1	False	CSE1L
VU0364739	1	False	CSE1L
COMPOUND 69 [PMID: 19136975]	1	False	CSE1L
ANTIBIOTIC	1	False	KCNE1
DIURETIC	1	False	KCNE1
INDOMETHACIN	1	True	KCNE1
INDAPAMIDE	1	True	KCNE1
SOTALOL	1	True	KCNE1
AMIODARONE HYDROCHLORIDE	1	True	KCNE1
NORTRIPTYLINE	1	True	CACNG2
AMITRIPTYLINE HYDROCHLORIDE	1	True	CACNG2
CLOMIPRAMINE	1	True	CACNG2
TRIMIPRAMINE	1	True	CACNG2
MONOAMINE OXIDASE INHIBITOR	1	False	CACNG2
DOXEPIN HYDROCHLORIDE	1	True	CACNG2
DESIPRAMINE	1	True	CACNG2
CHEMBL:CHEMBL404916	1	False	EP300
CHEMBL:CHEMBL1797708	1	False	EP300
CHEMBL:CHEMBL257748	1	False	EP300
CHEMBL:CHEMBL1797707	1	False	EP300
GARCINOL	1	False	EP300
STAUROSPORINE	1	False	EP300
