pmid,title,year,journal,study_type,pmc_id
25107590,Defects in dendrite and spine maturation and synaptogenesis associated with an anxious-depressive-like phenotype of GABAA receptor-deficient mice.,2015,Neuropharmacology,animal,PMC4252742
25109665,"Illness progression, recent stress, and morphometry of hippocampal subfields and medial prefrontal cortex in major depression.",2015,Biological psychiatry,human,PMC4277904
25035081,Mineralocorticoid receptor stimulation improves cognitive function and decreases cortisol secretion in depressed patients and healthy individuals.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4443950
24993057,Behavioral problems after early life stress: contributions of the hippocampus and amygdala.,2015,Biological psychiatry,human,PMC4241384
24953873,"Depression and synaptic zinc regulation in Alzheimer disease, dementia with lewy bodies, and Parkinson disease dementia.",2015,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,human,
24920010,Disassociation of verbal learning and hippocampal volume in type 2 diabetes and major depression.,2015,International journal of geriatric psychiatry,human,PMC4264998
24500370,Differential impact of chronic stress along the hippocampal dorsal-ventral axis.,2015,Brain structure & function,animal,
24575774,Reduced medial prefrontal-subcortical connectivity in dysphoria: Granger causality analyses of rapid functional magnetic resonance imaging.,2015,Brain connectivity,human,
24666365,Nociceptin/orphanin FQ peptide receptor antagonist JTC-801 reverses pain and anxiety symptoms in a rat model of post-traumatic stress disorder.,2015,British journal of pharmacology,animal,PMC4292969
24495461,"The Effects of Acutely Administered 3,4-Methylenedioxymethamphetamine on Spontaneous Brain Function in Healthy Volunteers Measured with Arterial Spin Labeling and Blood Oxygen Level-Dependent Resting State Functional Connectivity.",2015,Biological psychiatry,human,PMC4578244
24135769,"Onset-related differences in neural substrates of tinnitus-related distress: the anterior cingulate cortex in late-onset tinnitus, and the frontal cortex in early-onset tinnitus.",2015,Brain structure & function,human,
24751964,The P7C3 class of neuroprotective compounds exerts antidepressant efficacy in mice by increasing hippocampal neurogenesis.,2015,Molecular psychiatry,animal,PMC4206684
24756342,"Role of FKBP5 in emotion processing: results on amygdala activity, connectivity and volume.",2015,Brain structure & function,human,
25113601,17β-estradiol differentially regulates stress circuitry activity in healthy and depressed women.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4289944
24798730,31P RINEPT MRSI and VBM reveal alterations in brain aging associated with major depression.,2015,Magnetic resonance in medicine,human,
24813437,Altered emotion regulation capacity in social phobia as a function of comorbidity.,2015,Social cognitive and affective neuroscience,human,PMC4321630
24847113,Childhood physical abuse predicts stressor-evoked activity within central visceral control regions.,2015,Social cognitive and affective neuroscience,human,PMC4381229
24848366,The effectiveness of prefrontal theta cordance and early reduction of depressive symptoms in the prediction of antidepressant treatment outcome in patients with resistant depression: analysis of naturalistic data.,2015,European archives of psychiatry and clinical neuroscience,human,
24853295,Fronto-limbic disconnection in bipolar disorder.,2015,European psychiatry : the journal of the Association of European Psychiatrists,human,
24876189,Temporal lobe epilepsy and affective disorders: the role of the subgenual anterior cingulate cortex.,2015,"Journal of neurology, neurosurgery, and psychiatry",human,PMC4316913
24880240,Citalopram protects against cold-restraint stress-induced activation of brain-derived neurotrophic factor and expression of nuclear factor kappa-light-chain-enhancer of activated B cells in rats.,2015,Journal of molecular neuroscience : MN,animal,
24882567,Psilocybin-Induced Decrease in Amygdala Reactivity Correlates with Enhanced Positive Mood in Healthy Volunteers.,2015,Biological psychiatry,human,
24807818,Dietary magnesium restriction reduces amygdala-hypothalamic GluN1 receptor complex levels in mice.,2015,Brain structure & function,animal,
25122038,Hippocampal volume and the rapid antidepressant effect of ketamine.,2015,"Journal of psychopharmacology (Oxford, England)",human,PMC4852551
25125239,The role of serotonin in adult hippocampal neurogenesis.,2015,Behavioural brain research,review,
25127926,ADRA2B genotype differentially modulates stress-induced neural activity in the amygdala and hippocampus during emotional memory retrieval.,2015,Psychopharmacology,human,
25274576,Imbalance of default mode and regulatory networks during externally focused processing in depression.,2015,Social cognitive and affective neuroscience,human,PMC4420753
25277840,Expression of inflammatory markers in a genetic rodent model of depression.,2015,Behavioural brain research,animal,
25278460,Restoration of peripheral V2 receptor vasopressin signaling fails to correct behavioral changes in Brattleboro rats.,2015,Psychoneuroendocrinology,animal,
25280788,Repeated restraint stress-induced atrophy of glutamatergic pyramidal neurons and decreases in glutamatergic efflux in the rat amygdala are prevented by the antidepressant agomelatine.,2015,Neuroscience,animal,
25283187,Neurotropin(®) ameliorates chronic pain via induction of brain-derived neurotrophic factor.,2015,Cellular and molecular neurobiology,animal,PMC11486250
25285875,Grey matter alterations in patients with depersonalization disorder: a voxel-based morphometry study.,2015,Journal of psychiatry & neuroscience : JPN,human,PMC4275327
25285899,Neurostructural impact of co-occurring anxiety in pediatric patients with major depressive disorder: a voxel-based morphometry study.,2015,Journal of affective disorders,human,
25269685,Chronic early life stress alters developmental and adult neurogenesis and impairs cognitive function in mice.,2015,Hippocampus,animal,
25288130,"The associations between fatigue, apathy, and depression in Parkinson's disease.",2015,Acta neurologica Scandinavica,human,
25315361,Behavioral effects of nicotinic antagonist mecamylamine in a rat model of depression: prefrontal cortex level of BDNF protein and monoaminergic neurotransmitters.,2015,Psychopharmacology,animal,
25315685,Laminar and cellular analyses of reduced somatostatin gene expression in the subgenual anterior cingulate cortex in major depression.,2015,Neurobiology of disease,human,PMC4394026
25316382,Stimulation of Sigma-1 Receptor Ameliorates Depressive-like Behaviors in CaMKIV Null Mice.,2015,Molecular neurobiology,animal,
25319359,"Cardiorespiratory fitness is associated with brain structure, cognition, and mood in a middle-aged cohort at risk for Alzheimer's disease.",2015,Brain imaging and behavior,human,PMC4400225
25330741,Neurotrophic factor-α1 prevents stress-induced depression through enhancement of neurogenesis and is activated by rosiglitazone.,2015,Molecular psychiatry,animal,PMC4405386
25330763,Inhibiting geranylgeranyltransferase I activity decreases spine density in central nervous system.,2015,Hippocampus,animal,
25331166,"Chronic stress reduces the number of GABAergic interneurons in the adult rat hippocampus, dorsal-ventral and region-specific differences.",2015,Hippocampus,animal,
25304865,"Developmental exposure to SSRIs, in addition to maternal stress, has long-term sex-dependent effects on hippocampal plasticity.",2015,Psychopharmacology,animal,
25533974,Cognitive reappraisal of peer rejection in depressed versus non-depressed adolescents: functional connectivity differences.,2015,Journal of psychiatric research,human,
25241802,Diurnal fluctuations in HPA and neuropeptide Y-ergic systems underlie differences in vulnerability to traumatic stress responses at different zeitgeber times.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,animal,PMC4289967
25234401,Neuroticism and extraversion mediate the association between loneliness and the dorsolateral prefrontal cortex.,2015,Experimental brain research,human,
25131612,Blockade of 2-arachidonoylglycerol hydrolysis produces antidepressant-like effects and enhances adult hippocampal neurogenesis and synaptic plasticity.,2015,Hippocampus,animal,PMC4517601
25137414,Resting state functional connectivity of the anterior cingulate cortex in veterans with and without post-traumatic stress disorder.,2015,Human brain mapping,human,PMC6869264
25139647,"Electroconvulsive stimulation, but not chronic restraint stress, causes structural alterations in adult rat hippocampus--a stereological study.",2015,Hippocampus,animal,
23960204,Abnormal retinoid and TrkB signaling in the prefrontal cortex in mood disorders.,2015,"Cerebral cortex (New York, N.Y. : 1991)",human,
25146499,"The selective noradrenergic reuptake inhibitor reboxetine restores spatial learning deficits, biochemical changes, and hippocampal synaptic plasticity in an animal model of depression.",2015,Journal of neuroscience research,animal,
25146846,Lactoferrin Promotes Early Neurodevelopment and Cognition in Postnatal Piglets by Upregulating the BDNF Signaling Pathway and Polysialylation.,2015,Molecular neurobiology,animal,PMC4510916
25156392,Insecure attachment during infancy predicts greater amygdala volumes in early adulthood.,2015,"Journal of child psychology and psychiatry, and allied disciplines",human,PMC4407912
25240841,Limbic white matter microstructure plasticity reflects recovery from depression.,2015,Journal of affective disorders,human,
25162634,Functional brain-imaging correlates of negative affectivity and the onset of first-episode depression.,2015,Psychological medicine,human,
25178407,Adult neurogenesis and mental illness.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,review,PMC4262910
25192244,A neurobehavioral account for individual differences in resilience to chronic military stress.,2015,Psychological medicine,human,
25193948,Fearfulness moderates the link between childhood social withdrawal and adolescent reward response.,2015,Social cognitive and affective neuroscience,human,PMC4448017
25204687,Hippocampal atrophy is associated with subjective memory decline: The PATH Through Life study.,2015,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,human,
25212487,Abnormal structure of fear circuitry in pediatric post-traumatic stress disorder.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4289962
25229638,Dysfunction of emotional brain systems in individuals at high risk of mood disorder with depression and predictive features prior to illness.,2015,Psychological medicine,human,
25231918,Anxiolytic effects of ketamine in animal models of posttraumatic stress disorder.,2015,Psychopharmacology,animal,
25178406,BICC1 expression is elevated in depressed subjects and contributes to depressive behavior in rodents.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4289959
25541087,Depressive-like behaviors in a rat model of chronic cerebral hypoperfusion.,2015,Translational stroke research,animal,
25273347,The influence of negative life events on hippocampal and amygdala volumes in old age: a life-course perspective.,2015,Psychological medicine,human,
25545784,Abnormal hippocampal morphology in dissociative identity disorder and post-traumatic stress disorder correlates with childhood trauma and dissociative symptoms.,2015,Human brain mapping,human,PMC4400262
25714473,Neuroprotective mechanism of Lycium barbarum polysaccharides against hippocampal-dependent spatial memory deficits in a rat model of obstructive sleep apnea.,2015,PloS one,animal,PMC4340928
25715882,No evidence in favor of a more deleterious impact of a major depressive episode on verbal memory in older patients with antidepressant response.,2015,International psychogeriatrics,human,
25720329,Norepinephrine and corticosterone in the medial prefrontal cortex and hippocampus predict PTSD-like symptoms in mice.,2015,The European journal of neuroscience,animal,
25721540,History of chronic stress modifies acute stress-evoked fear memory and acoustic startle in male rats.,2015,"Stress (Amsterdam, Netherlands)",animal,
25721741,Sex differences in the single prolonged stress model.,2015,Behavioural brain research,animal,PMC5745062
25721744,Inactivation of BRD7 results in impaired cognitive behavior and reduced synaptic plasticity of the medial prefrontal cortex.,2015,Behavioural brain research,animal,
25722115,Evaluation of Myo-Inositol as a Potential Biomarker for Depression in Schizophrenia.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4613604
25732137,Mice deficient for wild-type p53-induced phosphatase 1 display elevated anxiety- and depression-like behaviors.,2015,Neuroscience,animal,
25732249,Chronic stress enhanced fear memories are associated with increased amygdala zif268 mRNA expression and are resistant to reconsolidation.,2015,Neurobiology of learning and memory,animal,PMC4397163
25735885,A systematic review and meta-analysis of magnetic resonance imaging measurement of structural volumes in posttraumatic stress disorder.,2015,Psychiatry research,meta_analysis,
25736403,Disturbance of hippocampal H2S generation contributes to CUMS-induced depression-like behavior: involvement in endoplasmic reticulum stress of hippocampus.,2015,Acta biochimica et biophysica Sinica,animal,
25739536,"Chronic Social Stress and Ethanol Increase Expression of KLF11, a Cell Death Mediator, in Rat Brain.",2015,Neurotoxicity research,animal,PMC4699184
25742865,Blunted behavioral and molecular responses to chronic mild stress in adult rats with experience of infancy maternal separation.,2015,The Tohoku journal of experimental medicine,animal,
25743912,[Effects of 15-day chronic stress on behavior and neurological changes in the hippocampus of ICR mice].,2015,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,animal,
25744282,Resting-state functional connectivity of antero-medial prefrontal cortex sub-regions in major depression and relationship to emotional intelligence.,2015,The international journal of neuropsychopharmacology,human,PMC4438550
25744500,The Impact of Accelerated HF-rTMS on the Subgenual Anterior Cingulate Cortex in Refractory Unipolar Major Depression: Insights From 18FDG PET Brain Imaging.,2015,Brain stimulation,human,
25745134,Modulatory effects of brain-derived neurotrophic factor Val66Met polymorphism on prefrontal regions in major depressive disorder.,2015,The British journal of psychiatry : the journal of mental science,human,PMC4416135
25708608,Behavioral and molecular responses to electroconvulsive shock differ between genetic and environmental rat models of depression.,2015,Psychiatry research,animal,
25704495,Regional hippocampal damage in heart failure.,2015,European journal of heart failure,human,PMC4651448
25703646,Sad mood induction has an opposite effect on amygdala response to emotional stimuli in euthymic patients with bipolar disorder and healthy controls.,2015,Journal of psychiatry & neuroscience : JPN,human,PMC4354819
25699481,Exercise Enhances the Behavioral Responses to Acute Stress in an Animal Model of PTSD.,2015,Medicine and science in sports and exercise,animal,
25651064,Identification of a common neurobiological substrate for mental illness.,2015,JAMA psychiatry,meta_analysis,PMC4791058
25652752,A randomized double-blind crossover trial of deep brain stimulation of the subcallosal cingulate gyrus in patients with treatment-resistant depression: a pilot study of relapse prevention.,2015,Journal of psychiatry & neuroscience : JPN,human,PMC4478055
25655215,Effects of stress early in gestation on hippocampal neurogenesis and glucocorticoid receptor density in pregnant rats.,2015,Neuroscience,animal,
25658577,Integrating Neuropsychology and Brain Imaging for a Referral of Possible Pseudodementia: A Case Report.,2015,The Clinical neuropsychologist,human,PMC4425628
25661827,Preterm birth affects GABAA receptor subunit mRNA levels during the foetal-to-neonatal transition in guinea pigs.,2015,Journal of developmental origins of health and disease,animal,
25672834,SIRT2 is involved in the modulation of depressive behaviors.,2015,Scientific reports,animal,PMC4325337
25675343,Affective neural responses modulated by serotonin transporter genotype in clinical anxiety and depression.,2015,PloS one,human,PMC4344476
25675878,The importance of the context in the hippocampus and brain related areas throughout the performance of a fear conditioning task.,2015,Hippocampus,animal,
25748318,Chronic corticosterone exposure reduces hippocampal astrocyte structural plasticity and induces hippocampal atrophy in mice.,2015,Neuroscience letters,animal,
25680674,Neural Mechanism of a Sex-Specific Risk Variant for Posttraumatic Stress Disorder in the Type I Receptor of the Pituitary Adenylate Cyclase Activating Polypeptide.,2015,Biological psychiatry,human,
25682917,Treatment with direct-current stimulation against cingulate seizure-like activity induced by 4-aminopyridine and bicuculline in an in vitro mouse model.,2015,Experimental neurology,in_vitro,
25683735,The Anxiolytic and Antidepressant-like Effects of Testosterone and Estrogen in Gonadectomized Male Rats.,2015,Biological psychiatry,animal,PMC4501899
25684752,Synaptic plasticity-related neural oscillations on hippocampus-prefrontal cortex pathway in depression.,2015,Neuroscience,animal,
25685707,Adolescents with current major depressive disorder show dissimilar patterns of age-related differences in ACC and thalamus.,2015,NeuroImage. Clinical,human,PMC4309951
25689569,Prenatal maternal depression alters amygdala functional connectivity in 6-month-old infants.,2015,Translational psychiatry,human,PMC4445753
25689572,MicroRNA regulation of central glial cell line-derived neurotrophic factor (GDNF) signalling in depression.,2015,Translational psychiatry,human,PMC4445749
25691144,Differential regional and cellular distribution of TFF3 peptide in the human brain.,2015,Amino acids,human,
25697477,"A 5-HT3 receptor antagonist potentiates the behavioral, neurochemical and electrophysiological actions of an SSRI antidepressant.",2015,"Pharmacology, biochemistry, and behavior",animal,
25680935,Modification of hippocampal markers of synaptic plasticity by memantine in animal models of acute and repeated restraint stress: implications for memory and behavior.,2015,Neuromolecular medicine,animal,
25644419,Novel antidepressant candidate RO-05 modulated glucocorticoid receptors activation and FKBP5 expression in chronic mild stress model in rats.,2015,Neuroscience,animal,
25749400,Metabolomic identification of biochemical changes induced by fluoxetine and imipramine in a chronic mild stress mouse model of depression.,2015,Scientific reports,animal,PMC4352870
25750029,Risperidone Attenuates Modified Stress-Re-stress Paradigm-Induced Mitochondrial Dysfunction and Apoptosis in Rats Exhibiting Post-traumatic Stress Disorder-Like Symptoms.,2015,Journal of molecular neuroscience : MN,animal,
25795386,Altered functional connectivity between medial prefrontal cortex and the inferior brainstem in major depression during appraisal of subjective emotional responses: A preliminary study.,2015,Biological psychology,human,
25796132,Early onset of cognitive impairment is associated with altered synaptic plasticity and enhanced hippocampal GluA1 expression in a mouse model of depression.,2015,Neurobiology of aging,animal,
25796564,"Evaluation of TrkB and BDNF transcripts in prefrontal cortex, hippocampus, and striatum from subjects with schizophrenia, bipolar disorder, and major depressive disorder.",2015,Neurobiology of disease,human,
25800971,NMDA receptor subunits and associated signaling molecules mediating antidepressant-related effects of NMDA-GluN2B antagonism.,2015,Behavioural brain research,animal,PMC4425283
25801500,NCAN Cross-Disorder Risk Variant Is Associated With Limbic Gray Matter Deficits in Healthy Subjects and Major Depression.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4569958
25807341,"Clinical Pilot Study and Computational Modeling of Bitemporal Transcranial Direct Current Stimulation, and Safety of Repeated Courses of Treatment, in Major Depression.",2015,The journal of ECT,human,
25819500,Elevated Hippocampal Cholinergic Neurostimulating Peptide precursor protein (HCNP-pp) mRNA in the amygdala in major depression.,2015,Journal of psychiatric research,human,PMC4387107
25820768,Anhedonic behavior in cryptochrome 2-deficient mice is paralleled by altered diurnal patterns of amygdala gene expression.,2015,Amino acids,animal,PMC4458264
25820840,Pretreatment Differences in BOLD Response to Emotional Faces Correlate with Antidepressant Response to Scopolamine.,2015,The international journal of neuropsychopharmacology,human,PMC4571629
25822989,Sprouty2 in the dorsal hippocampus regulates neurogenesis and stress responsiveness in rats.,2015,PloS one,animal,PMC4378921
25837925,Daily oral intake of theanine prevents the decline of 5-bromo-2'-deoxyuridine incorporation in hippocampal dentate gyrus with concomitant alleviation of behavioral abnormalities in adult mice with severe traumatic stress.,2015,Journal of pharmacological sciences,animal,
25823790,A Stress-Induced Shift From Trace to Delay Conditioning Depends on the Mineralocorticoid Receptor.,2015,Biological psychiatry,human,
25824424,Amygdala Reactivity to Emotional Faces in the Prediction of General and Medication-Specific Responses to Antidepressant Treatment in the Randomized iSPOT-D Trial.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4538354
25824981,Electrophysiological evidence of a typical cognitive distortion in bipolar disorder.,2015,Cortex; a journal devoted to the study of the nervous system and behavior,human,
25827506,Altered insular activation and increased insular functional connectivity during sad and happy face processing in adolescent major depressive disorder.,2015,Journal of affective disorders,human,PMC4412607
25829180,"A Prospective, Longitudinal Study of the Effect of Remission on Cortical Thickness and Hippocampal Volume in Patients with Treatment-Resistant Depression.",2015,The international journal of neuropsychopharmacology,human,PMC4571636
25833129,Increasing Adult Hippocampal Neurogenesis is Sufficient to Reduce Anxiety and Depression-Like Behaviors.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,animal,PMC4538351
24656506,"FMRI activation during executive function predicts response to cognitive behavioral therapy in older, depressed adults.",2015,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,human,PMC8040025
25791846,Maternal Style Selectively Shapes Amygdalar Development and Social Behavior in Rats Genetically Prone to High Anxiety.,2015,Developmental neuroscience,animal,PMC4485591
25791360,"Response inhibition failure to visual stimuli paired with a ""single-type"" stressor in PTSD patients: an fMRI pilot study.",2015,Brain research bulletin,human,
25791226,Icariin exerts an antidepressant effect in an unpredictable chronic mild stress model of depression in rats and is associated with the regulation of hippocampal neuroinflammation.,2015,Neuroscience,animal,
25751440,Brain changes in patients with posttraumatic stress disorder and associated alcoholism: MRI based study.,2015,Psychiatria Danubina,human,
25754146,Effects of testosterone and estradiol on anxiety and depressive-like behavior via a non-genomic pathway.,2015,Neuroscience bulletin,animal,PMC5563684
25755749,Effects of sleep deprivation on behaviors and abnormal hippocampal BDNF/miR-10B expression in rats with chronic stress depression.,2015,International journal of clinical and experimental pathology,animal,PMC4348910
25759300,"Ketamine Strengthens CRF-Activated Amygdala Inputs to Basal Dendrites in mPFC Layer V Pyramidal Cells in the Prelimbic but not Infralimbic Subregion, A Key Suppressor of Stress Responses.",2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,animal,PMC4613616
25762610,Mild Cognitive Impairment Subtypes in Older People With Depressive Symptoms: Relationship With Clinical Variables and Hippocampal Change.,2015,Journal of geriatric psychiatry and neurology,human,
25769842,"Venlafaxine increases cell proliferation and regulates DISC1, PDE4B and NMDA receptor 2B expression in the hippocampus in chronic mild stress mice.",2015,European journal of pharmacology,animal,
25771506,Chronic Stress Induces Brain Region-Specific Alterations of Molecular Rhythms that Correlate with Depression-like Behavior in Mice.,2015,Biological psychiatry,animal,PMC4509914
25772946,New insights into the neurobiological mechanisms of major depressive disorders.,2015,General hospital psychiatry,review,
25749890,Loss of Glial Cells of the Hippocampus in a Rat Model of Post-traumatic Stress Disorder.,2015,Neurochemical research,animal,
25773003,Comparison of regional gray matter volume abnormalities in Alzheimer׳s disease and late life depression with hippocampal atrophy using VSRAD analysis: a voxel-based morphometry study.,2015,Psychiatry research,human,
25776217,Association between neuroticism and amygdala responsivity emerges under stressful conditions.,2015,NeuroImage,human,
25779923,Chronic unpredictable mild stress induces parallel reductions of 15-PGDH in the hypothalamus and lungs in rats.,2015,Behavioural brain research,animal,
25541389,The ACDC pilot trial: targeting the anterior cingulate by double cone coil rTMS for the treatment of depression.,2015,Brain stimulation,human,
25784603,Hippocampal transcriptional and neurogenic changes evoked by combination yohimbine and imipramine treatment.,2015,Progress in neuro-psychopharmacology & biological psychiatry,animal,
25786501,Vagotomy prevents the effect of probiotics on caspase activity in a model of postmyocardial infarction depression.,2015,Neurogastroenterology and motility,animal,
25786918,CA1-specific deletion of NMDA receptors induces abnormal renewal of a learned fear response.,2015,Hippocampus,animal,
25788013,Orientin improves depression-like behavior and BDNF in chronic stressed mice.,2015,Molecular nutrition & food research,animal,
25790021,The Dissociative Subtype of Posttraumatic Stress Disorder: Unique Resting-State Functional Connectivity of Basolateral and Centromedial Amygdala Complexes.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4538346
25774879,Hepatocyte nuclear factor 4 alpha is a key factor related to depression and physiological homeostasis in the mouse brain.,2015,PloS one,animal,PMC4361552
25641667,Differential proteomic analysis of the anti-depressive effects of oleamide in a rat chronic mild stress model of depression.,2015,"Pharmacology, biochemistry, and behavior",animal,
25781010,DNA methylation of the serotonin transporter gene in peripheral cells and stress-related changes in hippocampal volume: a study in depressed patients and healthy controls.,2015,PloS one,human,PMC4363605
25553399,Anterior cingulate volume predicts response to cognitive behavioral therapy in major depressive disorder.,2015,Journal of affective disorders,human,
25610789,Specific functional connectivity alterations of the dorsal striatum in young people with depression.,2015,NeuroImage. Clinical,human,PMC4300014
25586634,Blockade of the GLT-1 Transporter in the Central Nucleus of the Amygdala Induces both Anxiety and Depressive-Like Symptoms.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,animal,PMC4915252
25583614,"HPA axis genetic variation, pubertal status, and sex interact to predict amygdala and hippocampus responses to negative emotional faces in school-age children.",2015,NeuroImage,human,PMC4340765
25611454,Stress-Related Functional Connectivity Changes Between Auditory Cortex and Cingulate in Tinnitus.,2015,Brain connectivity,human,
25613061,Mesolimbic dopaminergic dysfunction in Parkinson's disease depression: evidence from a 123I-FP-CIT SPECT investigation.,2015,"Journal of neural transmission (Vienna, Austria : 1996)",human,
25582786,Spine synapse remodeling in the pathophysiology and treatment of depression.,2015,Neuroscience letters,review,PMC4497940
25610781,Reduced hippocampal volume and hypothalamus-pituitary-adrenal axis function in first episode psychosis: evidence for sex differences.,2015,NeuroImage. Clinical,human,PMC4300007
25578796,Resting-state connectivity predictors of response to psychotherapy in major depressive disorder.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4915248
25598205,Alterations in the Nrf2-Keap1 signaling pathway and its downstream target genes in rat brain under stress.,2015,Brain research,animal,
25572430,Distinct intrinsic network connectivity patterns of post-traumatic stress disorder symptom clusters.,2015,Acta psychiatrica Scandinavica,human,
25571874,Aberrant NMDA receptor DNA methylation detected by epigenome-wide analysis of hippocampus and prefrontal cortex in major depression.,2015,European archives of psychiatry and clinical neuroscience,human,
25617820,Neural indicators of emotion regulation via acceptance vs reappraisal in remitted major depressive disorder.,2015,Social cognitive and affective neuroscience,human,PMC4560938
25564192,Altered functional connectivity networks of hippocampal subregions in remitted late-onset depression: a longitudinal resting-state study.,2015,Neuroscience bulletin,human,PMC5562640
25618406,Tetramethylpyrazine Produces Antidepressant-Like Effects in Mice Through Promotion of BDNF Signaling Pathway.,2015,The international journal of neuropsychopharmacology,animal,PMC4571627
25577159,Specificity of abnormal brain volume in major depressive disorder: a comparison with borderline personality disorder.,2015,Journal of affective disorders,human,
25618407,Telomerase dysregulation in the hippocampus of a rat model of depression: normalization by lithium.,2015,The international journal of neuropsychopharmacology,animal,PMC4540104
25610763,PTSD symptom severity is associated with increased recruitment of top-down attentional control in a trauma-exposed sample.,2015,NeuroImage. Clinical,human,PMC4299952
25602134,Serotonin deficiency alters susceptibility to the long-term consequences of adverse early life experience.,2015,Psychoneuroendocrinology,animal,PMC4344834
25554999,Chronic stress-like syndrome as a consequence of medial site subthalamic stimulation in Parkinson's disease.,2015,Psychoneuroendocrinology,human,
25595985,"Sex differences in the rapid and the sustained antidepressant-like effects of ketamine in stress-naïve and ""depressed"" mice exposed to chronic mild stress.",2015,Neuroscience,animal,
25598428,Prefrontal thinning affects functional connectivity and regional homogeneity of the anterior cingulate cortex in depression.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4915268
25595976,Structural changes in the CNS of patients with hemifacial spasm.,2015,Neuroscience,human,
25555305,Depressed suicide attempters have smaller hippocampus than depressed patients without suicide attempts.,2015,Journal of psychiatric research,human,
25556926,Cinnamic aldehyde treatment alleviates chronic unexpected stress-induced depressive-like behaviors via targeting cyclooxygenase-2 in mid-aged rats.,2015,Journal of ethnopharmacology,animal,
25603858,NLRP3 Inflammasome Mediates Chronic Mild Stress-Induced Depression in Mice via Neuroinflammation.,2015,The international journal of neuropsychopharmacology,animal,PMC4571628
25592978,Cognitive functioning after deep brain stimulation in subcallosal cingulate gyrus for treatment-resistant depression: an exploratory study.,2015,Psychiatry research,human,
25591480,Sex-specific impairment and recovery of spatial learning following the end of chronic unpredictable restraint stress: potential relevance of limbic GAD.,2015,Behavioural brain research,animal,PMC4324367
25591115,Differential impact of stress on hypothalamic-pituitary-adrenal axis: gene expression changes in Lewis and Fisher rats.,2015,Psychoneuroendocrinology,animal,
25600157,Depressive symptoms in Parkinson's disease are related to decreased hippocampus and amygdala volume.,2015,Movement disorders : official journal of the Movement Disorder Society,human,
25589378,Major depressive episodes over the course of 7 years and hippocampal subfield volumes at 7 tesla MRI: the PREDICT-MR study.,2015,Journal of affective disorders,human,
25557180,Prose memory impairment in amyotrophic lateral sclerosis patients is related to hippocampus volume.,2015,European journal of neurology,human,
25545969,Abnormal functional connectivity of the amygdala is associated with depression in Parkinson's disease.,2015,Movement disorders : official journal of the Movement Disorder Society,human,
25592430,"Chronic unpredictable mild stress decreases BDNF and NGF levels and Na(+),K(+)-ATPase activity in the hippocampus and prefrontal cortex of mice: antidepressant effect of chrysin.",2015,Neuroscience,animal,
25618592,"In a rat model of panic, corticotropin responses to dorsal periaqueductal gray stimulation depend on physical exertion.",2015,Psychoneuroendocrinology,animal,
25576700,The role of hepcidin in chronic mild stress-induced depression.,2015,Neuroscience letters,animal,
25563749,Oxytocin receptor gene methylation: converging multilevel evidence for a role in social anxiety.,2015,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC4397412
25560936,"Epigenetics and memory: causes, consequences and treatments for post-traumatic stress disorder and addiction.",2015,"Genes, brain, and behavior",review,PMC4526190
25641635,Effects of Erythropoietin on Hippocampal Volume and Memory in Mood Disorders.,2015,Biological psychiatry,human,
25640931,"Identifying predictors, moderators, and mediators of antidepressant response in major depressive disorder: neuroimaging approaches.",2015,The American journal of psychiatry,review,PMC4464814
25636201,Impaired allocentric spatial processing in posttraumatic stress disorder.,2015,Neurobiology of learning and memory,human,PMC4384783
25636177,Pituitary adenylate cyclase activating polypeptide in stress-related disorders: data convergence from animal and human studies.,2015,Biological psychiatry,review,PMC4461555
25561373,Determinants of brain SPECT perfusion and connectivity in treatment-resistant depression.,2015,Psychiatry research,human,
25620122,"Much ado about much: stress, dynamic biomarkers and HPA axis dysregulation along the trajectory to psychosis.",2015,Schizophrenia research,review,
